index,Formula,Phase,state,batch
3081,B30Fe16.8Zr53.2,RMG,No Procesado,7
3082,B30Fe35Ni35,RMG,No Procesado,8
3083,B30Mo60Si10,CRA,No Procesado,6
3084,B30Ni66Si4,CRA,No Procesado,12
3085,B31Co41Mn28,RMG,No Procesado,3
3086,B32C12Co56,RMG,No Procesado,1
3087,B32C16Co52,RMG,No Procesado,11
3088,B32C20Co48,CRA,No Procesado,7
3089,B32C2Co66,RMG,No Procesado,20
3090,B32C4Co64,RMG,No Procesado,19
3091,B32C8Co60,RMG,No Procesado,2
3092,B32Co41Mn27,RMG,No Procesado,17
3093,B32Co44Mn24,RMG,No Procesado,16
3094,B32Co46.4Mn21.6,RMG,No Procesado,15
3095,B32Co47Mn21,RMG,No Procesado,16
3096,B32Co48Mn20,RMG,No Procesado,11
3097,B32Co54.4Mn13.6,RMG,No Procesado,8
3098,B32Co54.5Mn13.5,RMG,No Procesado,2
3099,B32Co54Mn14,RMG,No Procesado,5
3100,B32Co61Mn7,RMG,No Procesado,4
3101,B33Co40.2Mn26.8,RMG,No Procesado,10
3102,B33Co53.6Mn13.4,RMG,No Procesado,14
3103,B34C10Ni56,RMG,No Procesado,13
3104,B34C12Ni54,RMG,No Procesado,7
3105,B34C14Ni52,RMG,No Procesado,4
3106,B34C6Ni60,RMG,No Procesado,9
3107,B34Co33Ni33,RMG,No Procesado,13
3108,B36C12Co52,CRA,No Procesado,6
3109,B36C16Co48,CRA,No Procesado,20
3110,B36C2Co62,RMG,No Procesado,4
3111,B36C4Co60,RMG,No Procesado,16
3112,B36C8Co56,CRA,No Procesado,7
3113,B38C10Ni52,RMG,No Procesado,6
3114,B38C12Ni50,RMG,No Procesado,18
3115,B38C14Ni48,RMG,No Procesado,1
3116,B38C6Ni56,RMG,No Procesado,12
3117,B3Fe79P18,RMG,No Procesado,7
3118,B3Fe82Nd15,RMG,No Procesado,17
3119,B3Fe82Zr15,CRA,No Procesado,1
3120,B3Fe83P14,CRA,No Procesado,4
3121,B3Fe85Nb12,CRA,No Procesado,3
3122,B3Fe85Zr12,RMG,No Procesado,2
3123,B3Fe90Zr7,RMG,No Procesado,18
3124,B3Fe92Nb5,CRA,No Procesado,14
3125,B4.8Fe82.2Nd13,RMG,No Procesado,8
3126,B40C2Co58,CRA,No Procesado,12
3127,B40C2Ni58,RMG,No Procesado,15
3128,B40C4Ni56,CRA,No Procesado,3
3129,B40C6Ni54,CRA,No Procesado,16
3130,B40C8Ni52,RMG,No Procesado,12
3131,B40Co40Y20,RMG,No Procesado,13
3132,B41C6Ni53,CRA,No Procesado,7
3133,B42.5C2.5Ni55,CRA,No Procesado,20
3134,B42C10Ni48,RMG,No Procesado,14
3135,B42C12Ni46,RMG,No Procesado,17
3136,B42C14Ni44,RMG,No Procesado,12
3137,B42C16Ni42,RMG,No Procesado,12
3138,B42C2Ni56,RMG,No Procesado,7
3139,B42C8Ni50,RMG,No Procesado,5
3140,B44C2.5Ni53.5,CRA,No Procesado,1
3141,B46C12Ni42,RMG,No Procesado,2
3142,B46C20Ni34,RMG,No Procesado,16
3143,B46C4Ni50,CRA,No Procesado,5
3144,B46C8Ni46,CRA,No Procesado,4
3145,B4Co86Zr10,RMG,No Procesado,13
3146,B4Cr10Fe86,RMG,No Procesado,16
3147,B4Cr12Fe84,CRA,No Procesado,4
3148,B4Cr14Fe82,CRA,No Procesado,17
3149,B4Cr15Fe81,CRA,No Procesado,6
3150,B4Cr16Fe80,CRA,No Procesado,12
3151,B4Cr20Fe76,CRA,No Procesado,18
3152,B4Cr5Fe91,CRA,No Procesado,15
3153,B4Cr8Fe88,RMG,No Procesado,10
3154,B4Cu10Fe86,CRA,No Procesado,19
3155,B4Cu1Fe95,CRA,No Procesado,7
3156,B4Cu5Fe91,CRA,No Procesado,17
3157,B4Fe23Zr73,RMG,No Procesado,4
3158,B4Fe71Ni25,CRA,No Procesado,15
3159,B4Fe76Mo20,CRA,No Procesado,5
3160,B4Fe76Ni20,CRA,No Procesado,13
3161,B4Fe78Mo18,CRA,No Procesado,19
3162,B4Fe80P16,RMG,No Procesado,16
3163,B4Fe81Mo15,CRA,No Procesado,6
3164,B4Fe81Ni15,CRA,No Procesado,9
3165,B4Fe84Mo12,CRA,No Procesado,4
3166,B4Fe84P12,CRA,No Procesado,13
3167,B4Fe86Mo10,CRA,No Procesado,17
3168,B4Fe86Ni10,CRA,No Procesado,13
3169,B4Fe86V10,CRA,No Procesado,14
3170,B4Fe86Zr10,RMG,No Procesado,7
3171,B4Fe88Mo8,CRA,No Procesado,6
3172,B4Fe88Zr8,RMG,No Procesado,1
3173,B4Fe89Hf7,RMG,No Procesado,8
3174,B4Fe89Zr7,RMG,No Procesado,3
3175,B4Fe90Zr6,RMG,No Procesado,1
3176,B4Fe91Mn5,CRA,No Procesado,20
3177,B4Fe91Mo5,CRA,No Procesado,10
3178,B4Fe91Ni5,CRA,No Procesado,17
3179,B4Fe91V5,CRA,No Procesado,11
3180,B4Fe93Mn3,CRA,No Procesado,3
3181,B4Fe93Ni3,CRA,No Procesado,17
3182,B4Fe95Mn1,CRA,No Procesado,19
3183,B4Fe95Ni1,CRA,No Procesado,4
3184,B4Ni36Zr60,RMG,No Procesado,14
3185,B4Pd80Si16,RMG,No Procesado,14
3186,B5.5Ni81.5P13,RMG,No Procesado,15
3187,B50C20Ni30,RMG,No Procesado,17
3188,B50C4Ni46,CRA,No Procesado,10
3189,B50C8Ni42,CRA,No Procesado,2
3190,B55C12Ni33,RMG,No Procesado,12
3191,B55C16Ni29,RMG,No Procesado,11
3192,B55C8Ni37,RMG,No Procesado,19
3193,B58C4Ni38,CRA,No Procesado,2
3194,B59C4Ni37,RMG,No Procesado,20
3195,B5C15Ni80,CRA,No Procesado,1
3196,B5C20Ni75,CRA,No Procesado,20
3197,B5C5Ni90,CRA,No Procesado,7
3198,B5Co75Si20,CRA,No Procesado,20
3199,B5Co81Nb14,RMG,No Procesado,17
3200,B5Co85Zr10,RMG,No Procesado,16
3201,B5Cu15Zr80,RMG,No Procesado,18
3202,B5Cu20Zr75,RMG,No Procesado,12
3203,B5Cu25Zr70,RMG,No Procesado,12
3204,B5Cu30Zr65,RMG,No Procesado,7
3205,B5Cu35Zr60,RMG,No Procesado,13
3206,B5Cu40Zr55,RMG,No Procesado,3
3207,B5Cu45Zr50,RMG,No Procesado,6
3208,B5Cu50Zr45,RMG,No Procesado,18
3209,B5Cu55Zr40,RMG,No Procesado,5
3210,B5Cu60Zr35,RMG,No Procesado,12
3211,B5Cu65Zr30,RMG,No Procesado,11
3212,B5Cu70Zr25,RMG,No Procesado,8
3213,B5Fe80Nb15,CRA,No Procesado,10
3214,B5Fe80Si15,RMG,No Procesado,20
3215,B5Fe80Zr15,RMG,No Procesado,13
3216,B5Fe81Nd14,CRA,No Procesado,6
3217,B5Fe83Nb12,CRA,No Procesado,6
3218,B5Fe83P12,RMG,No Procesado,3
3219,B5Fe83Zr12,RMG,No Procesado,1
3220,B5Fe84P11,CRA,No Procesado,14
3221,B5Fe85Zr10,RMG,No Procesado,7
3222,B5Fe90Zr5,CRA,No Procesado,20
3223,B5Mo70Si25,CRA,No Procesado,11
3224,B5Mo75Si20,CRA,No Procesado,19
3225,B5Mo80Si15,CRA,No Procesado,6
3226,B5Mo85Si10,CRA,No Procesado,3
3227,B5Mo90Si5,CRA,No Procesado,16
3228,B5Ni80P15,RMG,No Procesado,2
3229,B6.1Fe82.1Nd11.8,RMG,No Procesado,4
3230,B6Co80Nb14,RMG,No Procesado,15
3231,B6Co84Nb10,CRA,No Procesado,20
3232,B6Cr10Fe84,RMG,No Procesado,15
3233,B6Cr12Fe82,CRA,No Procesado,19
3234,B6Cr14Fe80,CRA,No Procesado,7
3235,B6Cr15Fe79,CRA,No Procesado,11
3236,B6Cr16Fe78,CRA,No Procesado,2
3237,B6Cr18Fe76,CRA,No Procesado,8
3238,B6Cr20Fe74,CRA,No Procesado,13
3239,B6Cr22Fe72,CRA,No Procesado,6
3240,B6Cr24Fe70,CRA,No Procesado,13
3241,B6Cr26Fe68,CRA,No Procesado,7
3242,B6Cr5Fe89,CRA,No Procesado,17
3243,B6Cr8Fe86,RMG,No Procesado,15
3244,B6Cu10Fe84,CRA,No Procesado,9
3245,B6Cu15Fe79,CRA,No Procesado,16
3246,B6Cu1Fe93,CRA,No Procesado,12
3247,B6Cu3Fe91,CRA,No Procesado,18
3248,B6Cu5Fe89,CRA,No Procesado,1
3249,B6Fe22.6Zr71.4,RMG,No Procesado,4
3250,B6Fe69Ni25,CRA,No Procesado,11
3251,B6Fe74Mo20,CRA,No Procesado,16
3252,B6Fe74Ni20,CRA,No Procesado,9
3253,B6Fe76Mo18,CRA,No Procesado,14
3254,B6Fe78Nd16,CRA,No Procesado,18
3255,B6Fe79Mn15,CRA,No Procesado,1
3256,B6Fe79Mo15,CRA,No Procesado,15
3257,B6Fe79Nb15,CRA,No Procesado,19
3258,B6Fe79Ni15,CRA,No Procesado,17
3259,B6Fe79P15,RMG,No Procesado,4
3260,B6Fe80P14,RMG,No Procesado,1
3261,B6Fe81.5Si12.5,CRA,No Procesado,16
3262,B6Fe81P13,RMG,No Procesado,19
3263,B6Fe82Mo12,CRA,No Procesado,11
3264,B6Fe82Nb12,RMG,No Procesado,10
3265,B6Fe82Nd12,RMG,No Procesado,12
3266,B6Fe82P12,RMG,No Procesado,12
3267,B6Fe83P11,RMG,No Procesado,18
3268,B6Fe83Si11,CRA,No Procesado,17
3269,B6Fe84Mn10,CRA,No Procesado,11
3270,B6Fe84Mo10,CRA,No Procesado,16
3271,B6Fe84Ni10,CRA,No Procesado,4
3272,B6Fe84P10,CRA,No Procesado,11
3273,B6Fe84V10,CRA,No Procesado,4
3274,B6Fe84Zr10,RMG,No Procesado,10
3275,B6Fe86Mo8,CRA,No Procesado,18
3276,B6Fe87Hf7,RMG,No Procesado,9
3277,B6Fe87Zr7,RMG,No Procesado,18
3278,B6Fe89Mn5,CRA,No Procesado,19
3279,B6Fe89Mo5,CRA,No Procesado,11
3280,B6Fe89Nb5,CRA,No Procesado,12
3281,B6Fe89Ni5,CRA,No Procesado,13
3282,B6Fe89V5,CRA,No Procesado,6
3283,B6Fe91Mn3,CRA,No Procesado,16
3284,B6Fe93Mn1,CRA,No Procesado,18
3285,B6Fe93Ni1,CRA,No Procesado,18
3286,B6Ni34Zr60,RMG,No Procesado,13
3287,B6Ni76Si18,CRA,No Procesado,8
3288,B6Ni80P14,RMG,No Procesado,3
3289,B7.5Co77.5Si15,RMG,No Procesado,3
3290,B7.5Cu15Zr77.5,CRA,No Procesado,16
3291,B7.5Cu25Zr67.5,RMG,No Procesado,11
3292,B7.5Cu30Zr62.5,RMG,No Procesado,4
3293,B7.5Cu35Zr57.5,RMG,No Procesado,15
3294,B7.5Cu50Zr42.5,RMG,No Procesado,20
3295,B7.5Cu55Zr37.5,RMG,No Procesado,14
3296,B7.5Fe74.5Si18,CRA,No Procesado,5
3297,B7.5Fe75Si17.5,RMG,No Procesado,19
3298,B7.5Fe77.5Nd15,RMG,No Procesado,10
3299,B7.5Fe77.5Si15,RMG,No Procesado,12
3300,B7.5Fe80Si12.5,RMG,No Procesado,11
3301,B7.5Fe82.5Si10,CRA,No Procesado,4
3302,B7.5Mo70Si22.5,RMG,No Procesado,20
3303,B7.5Ni76.5Si16,CRA,No Procesado,16
3304,B7.8Fe78.2Nd14,RMG,No Procesado,11
3305,B7C7Fe86,RMG,No Procesado,6
3306,B7Co77Zr16,RMG,No Procesado,4
3307,B7Co80P13,RMG,No Procesado,3
3308,B7Fe78Si15,RMG,No Procesado,3
3309,B7Fe79P14,RMG,No Procesado,7
3310,B7Fe80P13,RMG,No Procesado,2
3311,B7Fe81P12,RMG,No Procesado,8
3312,B7Fe82P11,RMG,No Procesado,6
3313,B7Fe83P10,RMG,No Procesado,7
3314,B7Fe84P9,CRA,No Procesado,9
3315,B7Fe85Mo8,CRA,No Procesado,14
3316,B7Fe85Zr8,RMG,No Procesado,9
3317,B7Fe88Zr5,CRA,No Procesado,1
3318,B81.5Fe12.5Si6,CRA,No Procesado,7
3319,B8C12Co80,CRA,No Procesado,16
3320,B8C4Co88,CRA,No Procesado,17
3321,B8C7Fe85,RMG,No Procesado,6
3322,B8C8Co84,CRA,No Procesado,15
3323,B8C9Fe83,RMG,No Procesado,8
3324,B8Cr10Fe82,RMG,No Procesado,10
3325,B8Cr12Fe80,CRA,No Procesado,13
3326,B8Cr14Fe78,CRA,No Procesado,8
3327,B8Cr15Fe77,CRA,No Procesado,15
3328,B8Cr16Fe76,CRA,No Procesado,1
3329,B8Cr18Fe74,CRA,No Procesado,15
3330,B8Cr20Fe72,CRA,No Procesado,7
3331,B8Cr22Fe70,CRA,No Procesado,12
3332,B8Cr24Fe68,CRA,No Procesado,2
3333,B8Cr26Fe66,CRA,No Procesado,19
3334,B8Cr5Fe87,CRA,No Procesado,11
3335,B8Cr8Fe84,RMG,No Procesado,11
3336,B8Cu10Fe82,CRA,No Procesado,4
3337,B8Cu15Fe77,CRA,No Procesado,15
3338,B8Cu1Fe91,CRA,No Procesado,18
3339,B8Cu3Fe89,CRA,No Procesado,8
3340,B8Cu5Fe87,CRA,No Procesado,20
3341,B8Fe20Mn72,CRA,No Procesado,12
3342,B8Fe22Zr70,RMG,No Procesado,19
3343,B8Fe67Ni25,CRA,No Procesado,2
3344,B8Fe72Mo20,CRA,No Procesado,2
3345,B8Fe72Ni20,CRA,No Procesado,5
3346,B8Fe74Mo18,CRA,No Procesado,4
3347,B8Fe76Nd16,RMG,No Procesado,18
3348,B8Fe77Mn15,CRA,No Procesado,5
3349,B8Fe77Mo15,CRA,No Procesado,10
3350,B8Fe77Nb15,RMG,No Procesado,13
3351,B8Fe77Nd15,RMG,No Procesado,15
3352,B8Fe77Ni15,CRA,No Procesado,10
3353,B8Fe79Nd13,RMG,No Procesado,15
3354,B8Fe79P13,RMG,No Procesado,11
3355,B8Fe80Mo12,CRA,No Procesado,2
3356,B8Fe80Nb12,RMG,No Procesado,10
3357,B8Fe80P12,RMG,No Procesado,8
3358,B8Fe80Zr12,RMG,No Procesado,9
3359,B8Fe81P11,RMG,No Procesado,16
3360,B8Fe82Mn10,CRA,No Procesado,6
3361,B8Fe82Mo10,CRA,No Procesado,5
3362,B8Fe82Ni10,CRA,No Procesado,8
3363,B8Fe82P10,RMG,No Procesado,4
3364,B8Fe82V10,CRA,No Procesado,12
3365,B8Fe82Zr10,RMG,No Procesado,9
3366,B8Fe83P9,RMG,No Procesado,16
3367,B8Fe85Hf7,RMG,No Procesado,8
3368,B8Fe85Nb7,RMG,No Procesado,17
3369,B8Fe85Zr7,RMG,No Procesado,18
3370,B8Fe87Mn5,CRA,No Procesado,11
3371,B8Fe87Mo5,CRA,No Procesado,5
3372,B8Fe87Nb5,CRA,No Procesado,7
3373,B8Fe87Ni5,CRA,No Procesado,4
3374,B8Fe87V5,CRA,No Procesado,13
3375,B8Fe89Mn3,CRA,No Procesado,16
3376,B8Fe89Ni3,CRA,No Procesado,17
3377,B8Fe90Zr2,CRA,No Procesado,20
3378,B8Fe91Mn1,CRA,No Procesado,13
3379,B8Fe91Ni1,CRA,No Procesado,16
3380,B8Ni30Ti62,RMG,No Procesado,20
3381,B8Ni32Zr60,RMG,No Procesado,13
3382,B8Ni80Si12,CRA,No Procesado,9
3383,B9C11Fe80,RMG,No Procesado,17
3384,B9C9Fe82,RMG,No Procesado,7
3385,B9Co85Fe6,RMG,No Procesado,6
3386,B9Cr85Fe6,RMG,No Procesado,10
3387,B9Fe6Mn85,RMG,No Procesado,19
3388,B9Fe6Mo85,RMG,No Procesado,8
3389,B9Fe6Ni85,RMG,No Procesado,6
3390,B9Fe6W85,RMG,No Procesado,6
3391,B9Fe77.5Si13.5,RMG,No Procesado,5
3392,B9Fe78P13,RMG,No Procesado,19
3393,B9Fe79P12,RMG,No Procesado,8
3394,B9Fe80P11,RMG,No Procesado,13
3395,B9Fe80Si11,CRA,No Procesado,3
3396,B9Fe81P10,RMG,No Procesado,16
3397,B9Fe82Nd9,RMG,No Procesado,4
3398,B9Fe82P9,RMG,No Procesado,4
3399,B9Fe83Mo8,CRA,No Procesado,18
3400,B9Fe83Si8,CRA,No Procesado,8
3401,B9Fe84Nb7,RMG,No Procesado,3
3402,B9Fe86Zr5,RMG,No Procesado,15
3403,Ba10Cu32La58,RMG,No Procesado,11
3404,Ba10Cu33.5La56.5,RMG,No Procesado,14
3405,Ba10Cu35La55,RMG,No Procesado,13
3406,Ba10Cu36.5La53.5,RMG,No Procesado,13
3407,Ba1Cu38La61,RMG,No Procesado,5
3408,Ba2Cu27La71,RMG,No Procesado,5
3409,Ba2Cu39La59,RMG,No Procesado,6
3410,Ba3Cu40La57,RMG,No Procesado,17
3411,Ba3Cu41La56,RMG,No Procesado,13
3412,Ba4.5Cu27.5La68,RMG,No Procesado,19
3413,Ba4Cu27La69,RMG,No Procesado,3
3414,Ba4Cu42La54,RMG,No Procesado,5
3415,Ba5Cu42La53,RMG,No Procesado,17
3416,Ba67Cu5La28,RMG,No Procesado,4
3417,Ba7.5Cu29La63.5,RMG,No Procesado,4
3418,Ba7Cu28La65,RMG,No Procesado,13
3419,Ba7Cu41.5La51.5,RMG,No Procesado,18
3420,Ba8Cu30La62,RMG,No Procesado,15
3421,Ba8Cu40La52,RMG,No Procesado,4
3422,Ba9.5Cu38La52.5,RMG,No Procesado,6
3423,Ba9Cu31La60,RMG,No Procesado,17
3424,Ba9Cu39La52,RMG,No Procesado,15
3425,Be10Si15Ti75,CRA,No Procesado,8
3426,Be15Si10Ti75,CRA,No Procesado,4
3427,Be15Si15Ti70,CRA,No Procesado,9
3428,Be20Nb10Zr70,CRA,No Procesado,1
3429,Be20Nb15Zr65,CRA,No Procesado,16
3430,Be20Nb20Zr60,CRA,No Procesado,7
3431,Be20Si10Ti70,RMG,No Procesado,20
3432,Be20Si15Ti65,CRA,No Procesado,16
3433,Be20Si5Ti75,CRA,No Procesado,20
3434,Be25Nb10Zr65,CRA,No Procesado,17
3435,Be25Nb15Zr60,CRA,No Procesado,2
3436,Be25Si10Ti65,CRA,No Procesado,20
3437,Be25Si15Ti60,CRA,No Procesado,5
3438,Be25Si5Ti70,RMG,No Procesado,8
3439,Be30Nb5Zr65,RMG,No Procesado,4
3440,Be30Si10Ti60,CRA,No Procesado,6
3441,Be30Si15Ti55,CRA,No Procesado,9
3442,Be30Si5Ti65,RMG,No Procesado,5
3443,Be32.5Nb2.5Zr65,RMG,No Procesado,2
3444,Be32.5Nb4Zr63.5,RMG,No Procesado,1
3445,Be32.5Nb5Zr62.5,RMG,No Procesado,14
3446,Be35Nb10Zr55,RMG,No Procesado,1
3447,Be35Nb2.5Zr62.5,RMG,No Procesado,3
3448,Be35Nb5Zr60,RMG,No Procesado,16
3449,Be35Si10Ti55,CRA,No Procesado,10
3450,Be35Si15Ti50,CRA,No Procesado,18
3451,Be35Si5Ti60,RMG,No Procesado,3
3452,Be40Si10Ti50,CRA,No Procesado,7
3453,Be40Si5Ti55,CRA,No Procesado,17
3454,Be40Ti30Zr30,RMG,No Procesado,3
3455,Be40Ti50Zr10,RMG,No Procesado,13
3456,Be43Hf25Zr32,RMG,No Procesado,13
3457,Be43Hf54Zr3,RMG,No Procesado,6
3458,Be43Hf5Zr52,RMG,No Procesado,8
3459,Be45Si5Ti50,CRA,No Procesado,18
3460,C10Co67.5Si22.5,RMG,No Procesado,8
3461,C10Co70W20,CRA,No Procesado,7
3462,C10Co75Si15,CRA,No Procesado,20
3463,C10Co75W15,CRA,No Procesado,8
3464,C10Co80W10,CRA,No Procesado,2
3465,C10Co82.5W7.5,CRA,No Procesado,7
3466,C10Co85Si5,CRA,No Procesado,1
3467,C10Co87.5W2.5,CRA,No Procesado,2
3468,C10Cr15Fe75,CRA,No Procesado,5
3469,C10Fe65Si25,RMG,No Procesado,2
3470,C10Fe70Si20,RMG,No Procesado,6
3471,C10Fe72.5P17.5,RMG,No Procesado,11
3472,C10Fe74W16,CRA,No Procesado,13
3473,C10Fe75P15,RMG,No Procesado,6
3474,C10Fe77.5P12.5,RMG,No Procesado,5
3475,C10Fe78W12,CRA,No Procesado,19
3476,C10Fe80P10,RMG,No Procesado,6
3477,C10Fe82.5P7.5,CRA,No Procesado,12
3478,C10Fe82W8,CRA,No Procesado,6
3479,C10Fe86W4,CRA,No Procesado,9
3480,C10Mo20Ni70,RMG,No Procesado,18
3481,C10Mo24Ni66,CRA,No Procesado,13
3482,C10Mo32Ni58,CRA,No Procesado,5
3483,C10Ni65Si25,CRA,No Procesado,20
3484,C10Ni67.5Si22.5,CRA,No Procesado,11
3485,C10Ni70Si20,CRA,No Procesado,17
3486,C10Ni75Si15,CRA,No Procesado,16
3487,C10Ni80Si10,CRA,No Procesado,18
3488,C10Ni85Si5,CRA,No Procesado,13
3489,C12.5Co65Si22.5,RMG,No Procesado,19
3490,C12.5Co67.5Si20,RMG,No Procesado,4
3491,C12.5Co67.5W20,CRA,No Procesado,10
3492,C12.5Co70W17.5,CRA,No Procesado,18
3493,C12.5Co72.5W15,RMG,No Procesado,10
3494,C12.5Co75W12.5,CRA,No Procesado,7
3495,C12.5Co77.5W10,CRA,No Procesado,10
3496,C12.5Co80W7.5,CRA,No Procesado,2
3497,C12.5Co85W2.5,CRA,No Procesado,19
3498,C12.5Fe65Si22.5,RMG,No Procesado,5
3499,C12.5Fe70Si17.5,RMG,No Procesado,1
3500,C12.5Fe72.5P15,RMG,No Procesado,9
3501,C12.5Fe75P12.5,RMG,No Procesado,5
3502,C12.5Fe77.5P10,RMG,No Procesado,14
3503,C12.5Fe80P7.5,RMG,No Procesado,15
3504,C12.5Ni65Si22.5,RMG,No Procesado,9
3505,C12.5Ni67.5Si20,RMG,No Procesado,14
3506,C12Co68W20,CRA,No Procesado,13
3507,C12Co74W14,CRA,No Procesado,14
3508,C12Fe71Mo17,RMG,No Procesado,5
3509,C12Mo12Ni76,CRA,No Procesado,12
3510,C12Mo16Ni72,CRA,No Procesado,8
3511,C12Mo20Ni68,RMG,No Procesado,20
3512,C12Mo24Ni64,RMG,No Procesado,5
3513,C12Mo28Ni60,CRA,No Procesado,13
3514,C13Cr40Fe47,CRA,No Procesado,17
3515,C14Co40Cr46,CRA,No Procesado,5
3516,C14Co46Mo40,CRA,No Procesado,7
3517,C14Co50Mo36,CRA,No Procesado,18
3518,C14Co62Mo24,CRA,No Procesado,18
3519,C14Co66W20,CRA,No Procesado,11
3520,C14Co70Mo16,CRA,No Procesado,4
3521,C14Co70W16,RMG,No Procesado,8
3522,C14Co72W14,RMG,No Procesado,9
3523,C14Co74Mo12,CRA,No Procesado,12
3524,C14Co76Mo10,CRA,No Procesado,14
3525,C14Co76W10,CRA,No Procesado,6
3526,C14Cr28Fe58,CRA,No Procesado,4
3527,C14Cr40Fe46,CRA,No Procesado,2
3528,C14Fe66W20,CRA,No Procesado,18
3529,C14Fe70W16,CRA,No Procesado,12
3530,C14Fe74W12,CRA,No Procesado,18
3531,C14Fe78W8,CRA,No Procesado,7
3532,C14Fe82W4,CRA,No Procesado,13
3533,C14Mo20Ni66,RMG,No Procesado,4
3534,C14Mo24Ni62,RMG,No Procesado,13
3535,C14Mo28Ni58,CRA,No Procesado,16
3536,C15Co65W20,CRA,No Procesado,3
3537,C15Co67.5Si17.5,RMG,No Procesado,11
3538,C15Co67.5W17.5,CRA,No Procesado,20
3539,C15Co70W15,RMG,No Procesado,4
3540,C15Co75Si10,CRA,No Procesado,16
3541,C15Co75W10,CRA,No Procesado,13
3542,C15Co77.5W7.5,CRA,No Procesado,8
3543,C15Co80Si5,CRA,No Procesado,7
3544,C15Co80W5,CRA,No Procesado,6
3545,C15Cr10Fe75,CRA,No Procesado,6
3546,C15Fe65Si20,RMG,No Procesado,19
3547,C15Fe70Si15,RMG,No Procesado,8
3548,C15Fe72.5P12.5,RMG,No Procesado,9
3549,C15Fe75P10,RMG,No Procesado,5
3550,C15Fe77.5P7.5,RMG,No Procesado,19
3551,C15Fe80P5,CRA,No Procesado,17
3552,C15Ni67.5Si17.5,RMG,No Procesado,19
3553,C15Ni70Si15,CRA,No Procesado,1
3554,C15Ni75Si10,CRA,No Procesado,10
3555,C15Ni80Si5,CRA,No Procesado,2
3556,C16Co36Cr48,RMG,No Procesado,7
3557,C16Co44Cr40,CRA,No Procesado,4
3558,C16Co48Cr36,CRA,No Procesado,8
3559,C16Co48Mo36,RMG,No Procesado,5
3560,C16Co52Cr32,CRA,No Procesado,7
3561,C16Co56Cr28,CRA,No Procesado,3
3562,C16Co56Mo28,RMG,No Procesado,18
3563,C16Co60Cr24,CRA,No Procesado,16
3564,C16Co60Mo24,RMG,No Procesado,13
3565,C16Co64Mo20,RMG,No Procesado,9
3566,C16Co64W20,CRA,No Procesado,11
3567,C16Co68Mo16,RMG,No Procesado,2
3568,C16Co68W16,CRA,No Procesado,6
3569,C16Co70W14,RMG,No Procesado,2
3570,C16Co72Mo12,RMG,No Procesado,5
3571,C16Co72W12,RMG,No Procesado,8
3572,C16Co74Mo10,CRA,No Procesado,16
3573,C16Co74W10,CRA,No Procesado,10
3574,C16Fe67Mo17,RMG,No Procesado,9
3575,C16Fe80W4,CRA,No Procesado,3
3576,C16Mo16Ni68,CRA,No Procesado,15
3577,C16Mo20Ni64,RMG,No Procesado,5
3578,C16Mo24Ni60,RMG,No Procesado,7
3579,C17.5Co65W17.5,CRA,No Procesado,20
3580,C17.5Co67.5Si15,RMG,No Procesado,19
3581,C17.5Fe65Si17.5,RMG,No Procesado,11
3582,C17.5Fe70Si12.5,RMG,No Procesado,6
3583,C17.5Fe72.5P10,RMG,No Procesado,16
3584,C17.5Fe75P7.5,RMG,No Procesado,15
3585,C17.5Fe77.5P5,CRA,No Procesado,9
3586,C17.5Ni67.5Si15,RMG,No Procesado,15
3587,C17Fe73W10,CRA,No Procesado,13
3588,C18Co34Cr48,RMG,No Procesado,17
3589,C18Co38Cr44,RMG,No Procesado,15
3590,C18Co42Cr40,RMG,No Procesado,17
3591,C18Co42Mo40,CRA,No Procesado,1
3592,C18Co44Cr38,RMG,No Procesado,10
3593,C18Co46Mo36,RMG,No Procesado,2
3594,C18Co48Cr34,RMG,No Procesado,11
3595,C18Co50Mo32,RMG,No Procesado,2
3596,C18Co52Cr30,RMG,No Procesado,8
3597,C18Co54Mo28,RMG,No Procesado,9
3598,C18Co56Cr26,RMG,No Procesado,7
3599,C18Co58Mo24,RMG,No Procesado,11
3600,C18Co58W24,CRA,No Procesado,13
3601,C18Co60Cr22,CRA,No Procesado,16
3602,C18Co62Mo20,RMG,No Procesado,19
3603,C18Co62W20,CRA,No Procesado,8
3604,C18Co66Mo16,RMG,No Procesado,17
3605,C18Co66W16,CRA,No Procesado,14
3606,C18Co68W14,CRA,No Procesado,8
3607,C18Co70Mo12,RMG,No Procesado,17
3608,C18Co70W12,RMG,No Procesado,13
3609,C18Co72Mo10,RMG,No Procesado,17
3610,C18Co72W10,CRA,No Procesado,6
3611,C18Co74.5W7.5,CRA,No Procesado,19
3612,C18Co74Mo8,CRA,No Procesado,1
3613,C18Co77W5,CRA,No Procesado,1
3614,C18Cr26Fe56,RMG,No Procesado,17
3615,C18Cr28Fe54,RMG,No Procesado,11
3616,C18Cr30Fe52,RMG,No Procesado,10
3617,C18Cr32Fe50,RMG,No Procesado,12
3618,C18Cr36Fe46,RMG,No Procesado,3
3619,C18Cr40Fe42,RMG,No Procesado,16
3620,C18Fe62Mo20,RMG,No Procesado,16
3621,C18Fe62W20,CRA,No Procesado,6
3622,C18Fe66Mo16,RMG,No Procesado,5
3623,C18Fe66W16,CRA,No Procesado,2
3624,C18Fe68W14,CRA,No Procesado,17
